X,Y,time,date,line,linename,linetype,f_altm,f_pot,f_ura,f_tho,f_rtk,f_rut,f_ruk,f_adrt,f_adrn,r_tlive,r_potc,r_urac,r_thoc,r_totc,f_mtf,f_prkpa,f_tempc
-89.88944039,50.0637791,146,24/06/1978,249,62491,L,130.8,1.358,0.909,5.312,4.26568,0.09581,0.52115,45.351,36.144,986.912,165,59,54,1636,60475,101.3,20
-89.88940987,50.06431697,147,24/06/1978,249,62491,L,134.7,1.173,0.42,5.837,4.58083,0.09897,0.53729,39.91,32.258,987.88,150,57,45,1515,60486,101.3,20
-89.88937173,50.0648434,148,24/06/1978,249,62491,L,137.2,0.995,0.417,5.003,5.15855,0.09881,0.54122,33.959,27.836,989.552,140,38,46,1306,60489,101.3,20
-89.88934121,50.06537365,149,24/06/1978,249,62491,L,136.6,0.807,0.251,4.038,5.23244,0.10228,0.55338,26.786,22.033,990.72,118,52,40,1160,60486,101.3,20
-89.88930306,50.06590389,150,24/06/1978,249,62491,L,135.6,0.62,0.293,3.667,5.6579,0.10518,0.56106,22.051,18.902,992.08,102,45,30,990,60483,101.3,20
-89.88926492,50.06643414,151,24/06/1978,249,62491,L,134.7,0.462,0.018,2.683,5.32011,0.10228,0.53731,17.517,12.826,992.184,102,37,41,977,60477,101.3,20
-89.8892344,50.06696057,152,24/06/1978,249,62491,L,129.8,0.387,-0.485,3.116,5.04276,0.09931,0.52569,15.579,10.071,993.184,76,37,25,852,60469,101.3,20
-89.88919626,50.06750226,153,24/06/1978,249,62491,L,127.7,0.325,-0.153,1.23,5.04276,0.10304,0.54822,12.266,6.446,993.024,81,32,37,872,60457,101.3,20
-89.88915811,50.06802869,154,24/06/1978,249,62491,L,126.5,0.337,0.107,1.187,5.04276,0.10183,0.54242,11.17,7.97,993.992,87,35,12,751,60445,101.3,20
-89.88912759,50.06855894,155,24/06/1978,249,62491,L,126.5,0.289,0.366,0.352,5.12353,0.10974,0.58594,8.829,6.732,993.8,85,46,25,775,60437,101.3,20
